from;to;amount
5522636489889;1297146029311;714741114
2292239597365;5321943066819;92748894
2890857948648;8461671550082;218934616
8530526285088;7792211729774;865385480
9392740310179;5805532287626;319212202
4948716634910;7862025019292;610621091
1392802353435;3900478358332;589955759
7124925588137;6734450867056;68688147
4111265809587;9973819186924;397529193
2431077273444;6953221800437;405752623
1211215144437;6089703974294;100965546
4099318069824;4390200755829;474186308
6174011809458;4380535586454;978906607
5391528141324;8779257322135;802922153
3509526620163;9089275697541;882307770
7876948702704;5518738594433;547954870
3530846910931;3396973854050;351514597
1985145338147;8963649855642;10529258
9683916785235;1660608665691;153299997
8664684705179;3172757480625;89487883
4835782345474;2744559480725;963755062
9514667375844;8360905845308;638583735
8528608414458;6790584371066;584002816
9544411519627;1208548604768;173239908
7221482084723;8006325153188;419006576
7545065376588;1856093296272;50793113
5305036057065;4073571339671;644767203
2851229308688;4508426966991;843177232
2512217234650;5220589479190;315612772
2196266338586;1472975908550;270362643
6405981345921;2176633586021;582589623
8659059029912;5929540488433;386427286
8904494702105;1848336150380;792295810
3528734712907;6017380967658;343845889
3907297330027;5357582686234;357621223
1098240878597;3183124379420;857442340
9367648888596;4420575378041;521786670
2052405448134;7483229771609;683874825
3960827513298;4701281684387;414092320
5854181984434;7106516924991;522583893
5279994830498;7821089529405;715675095
8245865056499;9881478034862;813280780
6370968739978;6783580698166;541017767
6747096705590;6629998069619;861211496
5337579399884;9705498079181;336880763
4305589793615;6074150009044;507614745
6687145376341;5778883922212;829189863
8145995542490;6739719941480;513197627
8286619831985;8382347530159;952726446
7703996480404;8498420637578;58358696
2529768877685;4320834913863;759463608
2687437453819;3574936364829;240360400
9357224271184;5519147019058;337233429
3852797005235;8461721829036;784919748
7679678519593;3613650945053;805305958
9287044635999;3779108017445;259241547
1952070567967;8736812077521;917000287
4981770696204;8991969495710;690450420
1433399244114;2887817599873;26218424
1195191015883;6391966036302;287133175
1780789732131;8293598543310;23052298
3542350601759;2746877117181;51261817
8003249865237;1757869823287;454491192
5255701288424;9489318116385;642774339
6038654567571;6533954210454;331052671
9117032010507;7168072345976;739670126
1965523401437;8624166782227;419321473
5338894494071;5984328216688;658792872
1647035948595;5841169692166;391802884
8392414002511;7935023552582;605552594
7024463488693;5624359765238;29806378
2549361576355;1264474577234;942304566
3667099315885;4834843110092;789065564
7605433347027;1388894000238;561208014
1128068536059;3631919502002;726422276
7698901024943;8550219699593;596641747
3271937313449;6789571211172;903041694
1375641533437;9889840675680;540911946
4172078200417;9047194820767;476817199
7430141378519;2786445609922;500171043
5265771049993;5958924304155;581895968
4388586434696;9155672870056;888872404
2303394934433;6310583218033;166740587
8012964286709;7652344327587;846996117
1484498579651;6000152969902;932622098
3576036628157;2538328226483;622091991
4359180243420;5751942339880;866943454
3546996790873;7409550578512;978030178
4093011972546;6949941058550;627519388
2118555281594;4417086936750;188451901
6173498132863;2335431664358;757277041
3766411780884;7875656450629;562118388
6241130667004;8837522851783;67072890
2593760963120;7502696592755;334578223
1167257095720;9128930856153;249547085
1092822513658;5723189542006;77339818
7316054146819;6494419588527;8159520
1863929359806;6127856361848;658909430
1051185365783;2654208986817;214514722
6308001045136;8254637703599;691623294
