from;to;amount
2128966479797;2874899405849;9910500
9212486253748;1625067139674;8781459
9084995632477;4284455770578;817981
2679033436848;1148337384362;7509628
6855373379408;5179393227665;1982292
2870453365203;6612777560978;-73
9672432928399;9553431084567;8989782
9422663002268;6457936498755;-34
4950441142789;6871639095001;2205109
4204998962678;1843304668785;8778848
1728175056816;2538410118229;352329
2960385835934;9644522455033;4112173
9920188455117;9938373525443;7842547
5358184603990;5762688052012;1421905
2106256605934;8397144327733;7283371
8252369035283;8948373429400;6656919
9575790269894;2129082531226;8406115
5448136460562;7515603798569;6238186
5998846125320;1154836630019;3268723
9778908142317;1719521786482;9502259
2326139694209;4199557155943;9695808
8448553096748;2025927337589;558479
4605729689536;7577149602604;2861201
2769345931035;5504231492104;5053222
2202968130035;1336417321808;4106192
1891063307854;5903566893801;1707717
7096193578762;6798269105350;4450580
8110992894624;1821274672462;4401812
5019504447342;7498808836769;1037688
6439682223773;7344383034285;8163448
6543557084373;2376542988685;8125344
1596469282378;5726265460127;6059770
9586811479134;4469464254087;3420720
6853269066847;1526359690099;2541787
6845755519724;4365212045263;4387222
3310960945861;5356261918892;8000806
3019595040075;3789356885561;3724019
3250750172476;2402223638356;2435339
9552119997241;3729293153196;1147003
8842735581866;3758435101615;5562109
7998057489209;7209746484018;1190093
8792089340470;2038699860217;7417734
4778194668751;2176608214111;2614927
5567498108037;3567086364317;1528075
2722724889133;9054344954913;8621238
4960544084518;3368108219449;1055530
3587834394374;9484862910856;314702
8525072826023;1893288515553;2582802
1438551647554;8723367007766;4396584
9979337505403;9294958625378;85817
